"","n","std_dev","ula","lla","LoA_width","upper_95CI_bias","lower_95CI_bias","width_95CI_bias","ula_conf_u","ula_conf_l","ula_width","lla_conf_u","lla_conf_l","lla_width"
"77",35,1,1.96,-1.96,3.92,2.03224450931772,-2.03224450931772,4.06448901863544,2.55498026946773,1.36501973053227,1.18996053893545,-1.36501973053227,-2.55498026946773,1.18996053893545
"78",36,1,1.96,-1.96,3.92,2.03010792825034,-2.03010792825034,4.06021585650068,2.54604167942966,1.37395832057034,1.17208335885933,-1.37395832057034,-2.54604167942966,1.17208335885933
"79",37,1,1.96,-1.96,3.92,2.02809400098045,-2.02809400098045,4.0561880019609,2.53749449115048,1.38250550884952,1.15498898230096,-1.38250550884952,-2.53749449115048,1.15498898230096
"80",38,1,1.96,-1.96,3.92,2.02619246302911,-2.02619246302911,4.05238492605822,2.52931093372205,1.39068906627795,1.1386218674441,-1.39068906627795,-2.52931093372205,1.1386218674441
"81",39,1,1.96,-1.96,3.92,2.02439416391197,-2.02439416391197,4.04878832782394,2.52146591997959,1.39853408002041,1.12293183995918,-1.39853408002041,-2.52146591997959,1.12293183995918
"82",40,1,1.96,-1.96,3.92,2.02269092003676,-2.02269092003676,4.04538184007352,2.51393672188251,1.40606327811749,1.10787344376501,-1.40606327811749,-2.51393672188251,1.10787344376501
"83",41,1,1.96,-1.96,3.92,2.02107539030627,-2.02107539030627,4.04215078061255,2.50670269264384,1.41329730735616,1.09340538528768,-1.41329730735616,-2.50670269264384,1.09340538528768
"84",42,1,1.96,-1.96,3.92,2.01954097044138,-2.01954097044138,4.03908194088275,2.49974502785318,1.42025497214682,1.07949005570637,-1.42025497214682,-2.49974502785318,1.07949005570637
"85",43,1,1.96,-1.96,3.92,2.01808170281844,-2.01808170281844,4.03616340563689,2.4930465592857,1.4269534407143,1.06609311857139,-1.4269534407143,-2.4930465592857,1.06609311857139
"86",44,1,1.96,-1.96,3.92,2.01669219922782,-2.01669219922782,4.03338439845565,2.48659157623858,1.43340842376142,1.05318315247716,-1.43340842376142,-2.48659157623858,1.05318315247716
